Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
23,6.8691435454418475,0.39749140882870093,1.5176944700732213,0,0,182,182,42,182,0,1,0
24,6.869143545441844,0.3974914088287009,1.5176944700732211,0,0,182,182,42,182,0,1,0
25,6.869143545441846,0.3974914088287008,1.5176944700732216,0,0,182,182,42,182,0,1,0
26,7.590602515643364,0.42485772429537133,1.6221840382186903,0,0,221,221,42,221,0,1,0
27,7.590602515643363,0.42485772429537133,1.6221840382186905,0,0,221,221,42,221,0,1,0
28,7.590602515643361,0.4248577242953713,1.6221840382186903,0,0,221,221,42,221,0,1,0
29,8.257762471383527,0.4494012501295927,1.7158956823129896,0,0,255,255,42,255,0,1,0
30,9.011094026783223,0.4763333976895669,1.8187275184510736,0,0,302,302,42,302,0,1,0
31,9.011094026783221,0.4763333976895669,1.8187275184510736,0,0,302,302,42,302,0,1,0
32,9.448870875410234,0.49163858635733476,1.8771655115461876,0,0,335,335,42,335,0,1,0
33,10.142520025901842,0.5154144629838716,1.9679461313929638,0,0,383,383,42,383,0,1,0
34,11.12453431464723,0.5481682932863284,2.093006210729618,0,0,440,440,42,440,0,1,0
35,11.124534314647226,0.5481682932863284,2.0930062107296177,0,0,440,440,41,440,0,1,0
36,11.745899150001566,0.5683949319848755,2.1702351948513416,0,0,493,493,39,493,0,1,0
37,12.151100122172844,0.5813929368948737,2.2198639408713348,0,0,533,533,36,533,0,1,0
38,12.15110012217284,0.5813929368948735,2.219863940871335,0,0,533,533,30,533,0,1,0
39,12.151100122172835,0.5813929368948734,2.2198639408713348,0,0,533,533,25,533,0,1,0
40,12.151100122172844,0.5813929368948735,2.2198639408713343,0,0,533,533,19,533,0,1,0
41,12.15110012217284,0.5813929368948735,2.2198639408713357,0,0,533,533,15,533,0,1,0
42,12.698369642031583,0.598721235216783,2.286026534464079,0,0,598,598,11,598,0,1,0
43,12.698369642031592,0.5987212352167828,2.2860265344640784,0,0,598,598,10,598,0,1,0
44,13.231802106831699,0.6153733483726428,2.349607330150089,0,0,687,687,8,687,0,1,0
45,13.60629458498325,0.6269303067777837,2.3937338986060834,0,0,784,784,7,784,0,1,0
46,14.018500093681338,0.6395292086406092,2.4418387966277804,0,0,896,896,7,896,0,1,0
47,14.355995120738529,0.6497528900144716,2.4808746709643446,0,0,998,998,7,998,0,1,0
48,14.765776407354146,0.6620592794171969,2.5278627032292955,9,0,1104,1113,7,1104,0,0.9919137466307277,0
49,14.765776407354146,0.6620592794171968,2.5278627032292964,0,9,1104,1113,7,1104,0,0.9919137466307277,0.008086253369272238
50,14.76577640735414,0.6620592794171968,2.5278627032292955,0,9,1104,1113,7,1104,0,0.9919137466307277,0.008086253369272238
51,14.765776407354132,0.6620592794171971,2.5278627032292955,10,9,1094,1113,7,1094,0,0.9829290206648698,0.008086253369272238
52,14.765776407354142,0.6620592794171961,2.527862703229297,0,19,1094,1113,7,1094,0,0.9829290206648698,0.017070979335130278
53,14.765776407354146,0.6620592794171968,2.527862703229296,0,19,1094,1113,7,1094,0,0.9829290206648698,0.017070979335130278
54,14.76577640735414,0.6620592794171968,2.527862703229297,8,19,1086,1113,7,1086,0,0.9757412398921833,0.017070979335130278
55,14.765776407354148,0.6620592794171971,2.527862703229296,8,27,1078,1113,7,1078,0,0.9685534591194969,0.02425876010781671
56,14.93756421414162,0.6671843879957702,2.547431299620215,11,35,1209,1255,7,1209,0,0.9633466135458167,0.027888446215139442
57,15.276272346893235,0.6772322223584563,2.5857957580959225,22,46,1303,1371,7,1303,0,0.950401167031364,0.03355215171407731
58,15.276272346893217,0.6772322223584555,2.5857957580959225,0,68,1303,1371,7,1303,0,0.950401167031364,0.049598832968636035
59,15.27627234689323,0.6772322223584557,2.585795758095923,0,68,1303,1371,7,1303,0,0.950401167031364,0.049598832968636035
60,15.27627234689321,0.677232222358456,2.5857957580959225,0,68,1303,1371,7,1303,0,0.950401167031364,0.049598832968636035
61,15.276272346893213,0.677232222358456,2.5857957580959225,0,68,1303,1371,7,1303,0,0.950401167031364,0.049598832968636035
62,15.276272346893226,0.6772322223584563,2.5857957580959225,0,68,1303,1371,7,1303,0,0.950401167031364,0.049598832968636035
63,15.499876815223663,0.6838248038677697,2.610967432949664,0,68,1452,1520,7,1452,0,0.9552631578947368,0.04473684210526316
64,15.499876815223663,0.6838248038677691,2.6109674329496633,0,68,1452,1520,7,1452,0,0.9552631578947368,0.04473684210526316
65,15.654957558856244,0.6883784744949933,2.6283541753445223,0,68,1508,1576,7,1508,0,0.9568527918781726,0.04314720812182741
66,15.654957558856237,0.6883784744949942,2.628354175344524,0,68,1508,1576,7,1508,0,0.9568527918781726,0.04314720812182741
67,15.654957558856225,0.6883784744949937,2.6283541753445214,27,68,1481,1576,7,1481,0,0.9397208121827412,0.04314720812182741
68,15.654957558856236,0.6883784744949948,2.6283541753445245,15,95,1466,1576,7,1466,0,0.9302030456852792,0.060279187817258884
69,15.654957558856246,0.688378474494994,2.6283541753445254,22,110,1444,1576,7,1444,0,0.916243654822335,0.06979695431472081
70,15.912260326748946,0.6959006925295397,2.657075371476424,0,132,1595,1727,7,1595,0,0.9235668789808917,0.07643312101910828
71,15.912260326748946,0.6959006925295393,2.6570753714764233,0,132,1595,1727,7,1595,0,0.9235668789808917,0.07643312101910828
72,15.912260326748939,0.6959006925295398,2.6570753714764224,0,132,1595,1727,7,1595,0,0.9235668789808917,0.07643312101910828
73,16.101543042930526,0.7014084873201956,2.678105133404384,0,132,1730,1862,7,1730,0,0.9291084854994629,0.07089151450053706
74,16.101543042930526,0.701408487320196,2.6781051334043835,35,132,1695,1862,7,1695,0,0.91031149301826,0.07089151450053706
75,16.10154304293052,0.701408487320196,2.6781051334043835,0,167,1695,1862,7,1695,0,0.91031149301826,0.08968850698174007
76,16.397115666614248,0.7099661759376535,2.7107799444892215,0,167,1846,2013,7,1846,0,0.9170392449080974,0.08296075509190264
77,16.790668927755064,0.7212813188426808,2.753983217399327,24,167,1963,2154,7,1963,0,0.9113277623026926,0.07753017641597029
78,16.79066892775505,0.7212813188426812,2.753983217399328,58,191,1905,2154,7,1905,0,0.8844011142061281,0.08867223769730734
79,17.013500086132858,0.7276487655529732,2.7782952866568067,0,249,2060,2309,7,2060,0,0.8921611087050672,0.10783889129493288
80,17.013500086132854,0.7276487655529732,2.7782952866568076,19,249,2041,2309,7,2041,0,0.8839324382849718,0.10783889129493288
