Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
26,17.753738036922293,0.7486047126326232,2.858308902779107,30,114,1121,1265,91,1060,61,0.8861660079051383,0.09011857707509881
27,18.341314003374055,0.7650320842977458,2.921031594591393,32,144,1197,1373,91,1137,60,0.8718135469774217,0.10487982520029134
28,18.994582533811545,0.7830915189492503,2.9899857996244092,35,176,1273,1484,93,1220,53,0.8578167115902965,0.11859838274932614
29,19.733264518179368,0.8032646287380052,3.06701040063602,39,211,1345,1595,94,1297,48,0.8432601880877743,0.1322884012539185
30,20.377498889891076,0.8206537101292822,3.1334050750390774,45,250,1399,1694,93,1357,42,0.8258559622195986,0.14757969303423848
31,21.246549732606976,0.8438235231185798,3.2218716337254856,42,295,1449,1786,100,1409,40,0.8113101903695409,0.16517357222844345
32,22.00491928537002,0.8637854250193299,3.298089804619261,58,337,1488,1883,106,1451,37,0.7902283590015932,0.17896972915560277
33,22.92550706900538,0.8877117846386752,3.3894449958931228,62,395,1524,1981,120,1487,37,0.7693084300858153,0.1993942453306411
34,23.934911989408324,0.9135813847412279,3.488219832648323,64,457,1554,2075,127,1521,33,0.7489156626506024,0.2202409638554217
35,24.91938197900604,0.9384638109240238,3.5832254598917284,68,521,1604,2193,136,1576,28,0.7314181486548108,0.23757409940720475
36,25.595336174616943,0.9553589514612425,3.64773417830656,67,589,1662,2318,144,1635,27,0.7169974115616912,0.2540983606557377
37,26.390351873681915,0.9750408378965073,3.722883199241209,67,656,1719,2442,173,1697,22,0.7039312039312039,0.26863226863226863
38,27.473384840033535,1.0015380764582054,3.8240544737495092,72,723,1777,2572,202,1759,18,0.6909020217729394,0.281104199066874
39,28.178685502036988,1.018606645306868,3.889225372989858,57,795,1845,2697,224,1829,16,0.6840934371523916,0.29477196885428253
40,28.83998511434773,1.034481447568041,3.9498382543507025,78,852,1915,2845,250,1900,15,0.6731107205623902,0.2994727592267135
41,29.500036657267117,1.0502057431024638,4.009876473663953,79,930,1989,2998,258,1978,11,0.6634422948632421,0.31020680453635757
42,30.086619382014934,1.0640816317578128,4.062857139438921,79,1009,2066,3154,273,2060,6,0.6550412175015853,0.3199112238427394
43,30.744194473103402,1.079530120313765,4.1218422775616474,68,1088,2136,3292,289,2132,4,0.6488456865127582,0.330498177399757
44,31.54543508545094,1.0982057155470193,4.19314909572498,77,1156,2206,3439,295,2202,4,0.6414655423088107,0.33614422797324806
45,32.126850030117964,1.1116586435820635,4.244514820949696,82,1233,2261,3576,300,2261,0,0.6322706935123042,0.3447986577181208
46,32.470894542944414,1.1195810026322608,4.274763828232268,70,1315,2306,3691,326,2306,0,0.6247629368734761,0.3562720130046058
47,32.88485049890288,1.1290762349328813,4.311018351561908,68,1385,2316,3769,360,2316,0,0.6144866012204829,0.3674714778455824
48,32.69557806296634,1.124739718657478,4.294460743964915,68,1452,2323,3843,369,2323,0,0.6044756700494406,0.37782982045277125
