Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,2.3251407699364424,0.1930599485139443,0.7371379852350601,0,0,25,25,0,25,0,1,0
1,2.8984809153108824,0.22361777157113397,0.8538133096352389,11,0,27,38,0,27,0,0.7105263157894737,0
2,3.55205094246253,0.25608185609723627,0.9777670869167202,12,9,28,49,0,28,0,0.5714285714285714,0.1836734693877551
3,4.131584189120879,0.2832285895927628,1.0814182511723671,7,21,39,67,0,39,0,0.582089552238806,0.31343283582089554
4,4.685128862576477,0.3079926686385952,1.175972007529182,18,21,48,87,0,48,0,0.5517241379310345,0.2413793103448276
5,5.53637277325649,0.34425181180020414,1.3144160086916883,20,35,55,110,0,55,0,0.5,0.3181818181818182
6,6.047062662276362,0.3651088256624291,1.394051879802002,29,45,62,136,0,62,0,0.45588235294117646,0.33088235294117646
7,6.735111685866651,0.3923038344885075,1.4978873680470284,33,59,73,165,0,73,0,0.44242424242424244,0.3575757575757576
