Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.6062471926484483,0.12470670705507728,0.4761528814830222,0,0,9,9,0,9,0,1,0
1,1.7992761451931045,1.0152309741208465,0.16272635626028,0.6213188148119781,4,0,9,13,0,9,0,0.6923076923076923,0
2,2.293648782160853,1.371869065490103,0.19131277138449534,0.7304669452862549,3,4,9,16,0,9,0,0.5625,0.25
3,2.6711193868904886,1.6507954643999028,0.21176534240370648,0.8085585800868794,6,4,8,18,0,8,0,0.4444444444444444,0.2222222222222222
4,3.1061707962811873,1.977866891633361,0.23417628209671867,0.8941276225511077,5,9,4,18,0,4,0,0.2222222222222222,0.5
5,3.3839144678161843,2.18931553871212,0.24793562679518322,0.9466633023088814,7,9,2,18,0,2,0,0.1111111111111111,0.5
6,3.3839144678161843,2.18931553871212,0.24793562679518322,0.9466633023088814,6,10,2,18,0,2,0,0.1111111111111111,0.5555555555555556
7,3.3839144678161843,2.18931553871212,0.24793562679518322,0.9466633023088814,6,10,2,18,0,2,0,0.1111111111111111,0.5555555555555556
8,3.0933450527740898,1.9681492222843544,0.23353121010164318,0.8916646203880922,6,10,4,20,0,4,0,0.2,0.5
9,2.9619543081274213,1.868850419179876,0.22687061846081125,0.8662332704867338,6,10,6,22,0,6,0,0.2727272727272727,0.45454545454545453
10,3.1292664217151116,1.9953764972210648,0.23533564470631166,0.8985542797877356,5,10,8,23,0,8,0,0.34782608695652173,0.43478260869565216
11,3.304559133091899,2.1287101315056143,0.24404413240470066,0.9318048691815843,7,10,7,24,0,7,0,0.2916666666666667,0.4166666666666667
12,3.489513204644966,2.2701892658557927,0.253067232578885,0.9662567062102884,7,11,7,25,0,7,0,0.28,0.44
13,3.683672852029668,2.4195287816711053,0.2623695240366828,1.00177454632188,4,16,6,26,0,6,0,0.23076923076923078,0.6153846153846154
14,3.8438108462712144,2.543290328677646,0.26991935270809925,1.0306011648854696,5,16,6,27,0,6,0,0.2222222222222222,0.5925925925925926
15,4.210615650121923,2.828621292803366,0.2868290175566817,1.0951653397618755,5,16,10,31,0,10,0,0.3225806451612903,0.5161290322580645
16,4.508580940394176,3.062134190059824,0.3002059293146769,1.1462408210196755,6,18,11,35,0,11,0,0.3142857142857143,0.5142857142857142
17,5.241849199369276,3.6425408000420094,0.3319319319358478,1.2673764673914187,11,18,8,37,0,8,0,0.21621621621621623,0.4864864864864865
18,5.699963262982705,4.00878038136422,0.3510002207132702,1.3401826609052134,6,25,9,40,0,9,0,0.225,0.625
19,5.942815157694519,4.203930864976111,0.3609005135830659,1.3779837791353424,8,26,7,41,0,7,0,0.17073170731707318,0.6341463414634146
20,6.042471975289335,4.2842017052592,0.3649240183081416,1.393346251721995,6,29,7,42,0,7,0,0.16666666666666666,0.6904761904761905
21,6.199714052238761,4.411071154738544,0.3712277711792902,1.4174151263209263,7,29,6,42,0,6,0,0.14285714285714285,0.6904761904761905
22,6.44368275182232,4.608418368452959,0.3809039286238298,1.4543604547455318,7,29,8,44,0,8,0,0.18181818181818182,0.6590909090909091
23,6.797042208921305,4.895281600572256,0.3947050319215008,1.5070555764275486,7,31,8,46,0,8,0,0.17391304347826086,0.6739130434782609
24,7.355411423612096,5.350875473072703,0.4160357633194967,1.5885001872198965,10,31,6,47,0,6,0,0.1276595744680851,0.6595744680851063
25,7.581087059578625,5.535756413570842,0.4245025869072757,1.6208280591005073,6,35,7,48,0,7,0,0.14583333333333334,0.7291666666666666
26,7.581087059578625,5.535756413570842,0.4245025869072757,1.6208280591005073,7,36,6,49,0,6,0,0.12244897959183673,0.7346938775510204
27,7.6830909091212565,5.619454487522638,0.4283018988223543,1.635334522776262,8,36,5,49,0,5,0,0.10204081632653061,0.7346938775510204
28,7.704284036918821,5.636854451947415,0.4290891591450089,1.6383404258263974,8,36,6,50,0,6,0,0.12,0.72
29,7.993145596764019,5.874356714324557,0.4397486359780014,1.6790402464614598,9,36,6,51,0,6,0,0.11764705882352941,0.7058823529411765
30,7.95488759939701,5.842864966075841,0.4383443201232616,1.6736783131979078,10,36,7,53,0,7,0,0.1320754716981132,0.6792452830188679
31,8.3572333450913,6.174582731403812,0.4530029575577806,1.7296476561297076,11,36,7,54,0,7,0,0.12962962962962962,0.6666666666666666
32,8.719489160363565,6.47421231499058,0.4660008547000533,1.7792759906729307,8,40,9,57,0,9,0,0.15789473684210525,0.7017543859649122
33,9.08231831787492,6.775179733861015,0.47884008347458407,1.8282985005393204,9,42,7,58,0,7,0,0.1206896551724138,0.7241379310344828
34,9.4477767685048,7.079155533716168,0.49160063363537687,1.8770206011532566,10,43,6,59,0,6,0,0.1016949152542373,0.7288135593220338
35,9.797958286369484,7.371164205226192,0.5036742432561553,1.9231198378871386,9,45,6,60,0,6,0,0.1,0.75
36,9.946472916015898,7.495217276372247,0.5087511704920784,1.942504469151572,9,47,5,61,0,5,0,0.08196721311475409,0.7704918032786885
37,10.431091888497907,7.900848004872031,0.5251449569789555,2.005098926646921,11,47,3,61,0,3,0,0.04918032786885246,0.7704918032786885
38,10.823318916373431,8.230038343900038,0.5382280433435346,2.055052529129859,9,49,4,62,0,4,0,0.06451612903225806,0.7903225806451613
39,11.52268050859363,8.818857767444225,0.5611707575970466,2.14265198355236,10,50,2,62,0,2,0,0.03225806451612903,0.8064516129032258
40,11.7369620259279,8.999721239703613,0.5681065782729653,2.1691342079513216,7,53,3,63,0,3,0,0.047619047619047616,0.8412698412698413
41,12.626797281180693,9.752899337416352,0.5964693845548631,2.2774285592094774,7,54,4,65,0,4,0,0.06153846153846154,0.8307692307692308
42,12.886398483782017,9.973243608282392,0.6046170496319979,2.308537825867628,4,58,4,66,0,4,0,0.06060606060606061,0.8787878787878788
43,12.589469637223889,9.721238412244332,0.5952932731089648,2.2729379518705928,4,58,5,67,0,5,0,0.07462686567164178,0.8656716417910447
44,13.105084499603116,10.159064076033161,0.6114382011182924,2.3345822224516617,4,58,8,70,0,8,0,0.11428571428571428,0.8285714285714286
45,13.57372896948645,10.557886506486842,0.6259295677923715,2.3899128952072366,5,59,9,73,0,9,0,0.1232876712328767,0.8082191780821918
46,13.57372896948645,10.557886506486842,0.6259295677923715,2.3899128952072366,4,60,9,73,0,9,0,0.1232876712328767,0.821917808219178
47,13.648138178865441,10.62128415451523,0.6282149861858929,2.398639038164318,4,60,10,74,0,10,0,0.13513513513513514,0.8108108108108109
48,13.710912264384094,10.674784074717842,0.6301398129495998,2.4059883767166528,5,60,11,76,0,11,0,0.14473684210526316,0.7894736842105263
49,14.140205609687023,11.04102880773387,0.6432253739902768,2.455951427962875,8,60,9,77,0,9,0,0.11688311688311688,0.7792207792207793
50,14.66394141792828,11.488702948693271,0.6590117577657564,2.5162267114692516,11,60,7,78,0,7,0,0.08974358974358974,0.7692307692307693
51,14.74397281486557,11.557191829136219,0.6614073743966579,2.525373611332694,10,62,7,79,0,7,0,0.08860759493670886,0.7848101265822784
52,14.97039206498917,11.751068322452335,0.668161531469909,2.5511622110669254,10,62,9,81,0,9,0,0.1111111111111111,0.7654320987654321
53,15.07392412014645,11.839774660188052,0.6712385671611767,2.56291089279722,11,62,8,81,0,8,0,0.09876543209876543,0.7654320987654321
54,15.224718324269407,11.969035808531691,0.6757076919455641,2.579974823792154,12,62,8,82,0,8,0,0.0975609756097561,0.7560975609756098
55,15.175177814388501,11.926561691859426,0.6742410820343364,2.574375040494739,12,62,11,85,0,11,0,0.12941176470588237,0.7294117647058823
56,15.353450499190622,12.079441528602471,0.6795112957824473,2.5944976748057083,13,62,11,86,0,11,0,0.12790697674418605,0.7209302325581395
57,15.534828717456454,12.23508521465847,0.6848524251090148,2.6148910776889656,12,64,12,88,0,12,0,0.13636363636363635,0.7272727272727273
58,15.38019185170053,12.102382387635659,0.6803000774474263,2.5975093866174452,11,65,16,92,0,16,0,0.17391304347826086,0.7065217391304348
59,15.52719387320832,12.228531600730456,0.6846280188161601,2.614034253661702,13,65,14,92,0,14,0,0.15217391304347827,0.7065217391304348
60,15.597964261762586,12.289286415534363,0.6867067228020842,2.62197112342614,13,65,16,94,0,16,0,0.1702127659574468,0.6914893617021277
61,15.760500361718364,12.42887721702783,0.6914689545584127,2.640154190132121,14,65,18,97,0,18,0,0.18556701030927836,0.6701030927835051
62,15.849395625541186,12.505256473839164,0.6940666163909854,2.6500725353110353,16,65,19,100,0,19,0,0.19,0.65
63,16.11258907021772,12.731530010332657,0.7017292388440697,2.679329821040993,19,65,16,100,0,16,0,0.16,0.65
