Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.606247192648448,0.12470670705507728,0.4761528814830222,0,0,9,9,0,3,6,1,0
1,1.548383861883997,0.839032140335375,0.1472239422082046,0.5621277793404174,0,0,14,14,0,3,11,1,0
2,2.035589592507276,1.1843156285724632,0.17667950194873486,0.6745944619860784,0,0,20,20,0,3,17,1,0
3,2.4670494605652915,1.499378353587414,0.20083739956144642,0.7668337074164316,0,0,28,28,0,3,25,1,0
4,3.0274029184882503,1.9182552947276248,0.2302004502144697,0.8789471735461568,0,0,39,39,0,3,36,1,0
5,3.8571720162137932,2.5536394835427787,0.2705444879128521,1.0329880447581625,0,0,58,58,0,3,55,1,0
6,4.284397947497389,2.88630598825251,0.2901700292772391,1.1079219299676402,0,0,75,75,0,3,72,1,0
7,5.102477868133628,3.531645086242251,0.3260218981283991,1.2448108837629783,4,0,97,101,0,0,97,0.9603960396039604,0
8,5.706506068531534,4.014029264544857,0.3512687706387444,1.3412080333479324,2,4,118,124,0,0,118,0.9516129032258065,0.03225806451612903
9,6.2936553793813825,4.486989502249504,0.3749683895934094,1.4316974875384716,1,6,144,151,0,0,144,0.9536423841059603,0.039735099337748346
10,6.8951389418240785,4.975124254501045,0.39849361435006386,1.5215210729729711,3,7,170,180,0,0,170,0.9444444444444444,0.03888888888888889
11,7.550435077444188,5.510621297397132,0.4233575769908988,1.6164562030561591,8,10,191,209,0,0,191,0.9138755980861244,0.04784688995215311
12,8.26652918115833,6.09970001988361,0.4497192598872064,1.7171099013875148,12,18,217,247,0,0,217,0.8785425101214575,0.0728744939271255
13,8.886542998268894,6.612679270206928,0.47193398129588027,1.8019297467660886,13,30,239,282,0,0,239,0.8475177304964538,0.10638297872340426
14,9.582808789105746,7.1916720189434225,0.4962736692789725,1.8948631008833499,25,43,259,327,0,0,259,0.7920489296636085,0.13149847094801223
