Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
19,15.488787484174305,0,0.6834986049681718,2.6097219462421095,155,398,229,782,0,229,0,0.2928388746803069,0.5089514066496164
20,16.261272972655203,0,0.7060395757533813,2.6957874710583636,168,448,245,861,0,245,0,0.2845528455284553,0.5203252032520326
21,16.956166913454826,0,0.7260131280428607,2.7720501252545584,197,492,258,947,0,258,0,0.27243928194297784,0.5195353748680043
22,17.748995003174937,0,0.7484713767486928,2.857799802131371,212,547,279,1038,0,279,0,0.26878612716763006,0.5269749518304432
23,18.39712261637018,0,0.7665831820589487,2.926953967861441,229,601,302,1132,0,302,0,0.2667844522968198,0.5309187279151943
24,19.178955041195906,0,0.788150785187701,3.0093029979894044,264,646,324,1234,0,324,0,0.2625607779578606,0.5235008103727715
25,19.93659090510818,0,0.8087729484642094,3.088042166863344,278,724,340,1342,0,340,0,0.2533532041728763,0.5394932935916542
26,20.91196584536464,0,0.8349412654033863,3.1879575588129274,300,786,364,1450,0,364,0,0.25103448275862067,0.5420689655172414
27,21.838748184645503,0,0.8594313247603526,3.281465058175891,322,870,372,1564,0,372,0,0.23785166240409208,0.5562659846547314
28,22.777571251090574,0,0.8838887935885326,3.374848120974396,339,963,375,1677,0,375,0,0.22361359570661896,0.5742397137745975
29,23.50448815121517,0,0.9025956107704517,3.44627415021445,343,1068,381,1792,0,381,0,0.21261160714285715,0.5959821428571429
30,24.218088749923503,0,0.9207730427646931,3.5156788905561043,382,1133,400,1915,0,400,0,0.20887728459530025,0.591644908616188
31,25.0412083192804,0,0.9415199770673766,3.594894457893617,404,1205,437,2046,0,437,0,0.21358748778103617,0.5889540566959922
32,25.83260635859858,0,0.961254020466394,3.67024262359896,442,1293,437,2172,0,437,0,0.20119705340699817,0.5953038674033149
33,26.654485272045047,0,0.9815359676973024,3.7476827857533364,451,1393,464,2308,0,464,0,0.20103986135181975,0.6035528596187175
34,27.451934884043155,0,1.0010167053386942,3.8220637840204694,505,1469,478,2452,0,478,0,0.19494290375203915,0.5991027732463295
35,28.171234807994093,0,1.0184270849804282,3.888539779016181,517,1589,495,2601,0,495,0,0.1903114186851211,0.6109188773548635
36,29.06718346412586,0,1.0399073625230633,3.9705553841789683,539,1684,526,2749,0,526,0,0.19134230629319754,0.6125863950527465
37,29.91843092998169,0,1.060112350110735,4.047701700422804,580,1795,528,2903,0,528,0,0.1818808129521185,0.6183258697898726
38,30.769192517365948,0,1.0801152169246988,4.124076282803397,599,1912,551,3062,0,551,0,0.1799477465708687,0.6244284781188766
39,31.53596419322003,0,1.097985894866804,4.192309780400522,614,2042,565,3221,0,565,0,0.17541136293076684,0.6339646072648246
40,32.352075985551394,0,1.1168481293278667,4.26432922107004,655,2141,596,3392,0,596,0,0.17570754716981132,0.6311910377358491
41,33.141207653391625,0,1.1349365220644059,4.333393993336821,671,2263,634,3568,0,634,0,0.17769058295964127,0.6342488789237668
42,33.98689744087438,0,1.1541626939576994,4.406803013293034,703,2386,649,3738,0,649,0,0.17362225789192082,0.6383092562867844
43,34.83765316051394,0,1.1733437901482167,4.480039926020466,734,2521,662,3917,0,662,0,0.16900689303038038,0.6436047995915242
44,35.51954293261989,0,1.1886051224356777,4.5383104674816765,759,2669,666,4094,0,666,0,0.1626770884220811,0.6519296531509526
45,36.233850252875975,0,1.204487623723498,4.598952745126081,814,2761,671,4246,0,671,0,0.15803108808290156,0.6502590673575129
46,36.74292691351064,0,1.2157432055645696,4.641928603064721,852,2891,614,4357,0,614,0,0.14092265320174432,0.6635299518016984
47,37.06901158975942,0,1.2229255612061007,4.669352142786927,912,2963,564,4439,0,564,0,0.12705564316287452,0.6674926785312008
48,37.24980972207459,0,1.2268987507491473,4.684522502860378,907,3032,562,4501,0,562,0,0.12486114196845145,0.6736280826483004
49,37.44565852745437,0,1.2311954453678817,4.70092806413191,933,3064,547,4544,0,547,0,0.12037852112676056,0.6742957746478874
50,37.58087450559444,0,1.234157555833371,4.7122379404546875,970,3096,511,4577,0,511,0,0.11164518243390867,0.6764256062923312
