Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.6062471926484481,0.12470670705507728,0.47615288148302226,0,0,9,9,0,1,8,1,0
1,1.6638278219492102,0.9196418868938778,0.1544536846341256,0.5897322504212068,0,0,16,16,0,2,14,1,0
2,1.9698515104037773,1.1370052063539835,0.1728548932933535,0.6599914107564406,0,0,21,21,0,2,19,1,0
3,2.4376585050170183,1.4776882436915098,0.1992391108411431,0.7607311504843647,0,0,29,29,0,2,27,1,0
4,3.090522381381072,1.9660111477163595,0.23338912396814795,0.8911221096965649,0,0,44,44,0,2,42,1,0
5,3.681418597260208,2.417790315290646,0.2622624736163244,1.0013658083532382,0,0,58,58,0,2,56,1,0
6,4.450014441386815,3.0161212039624465,0.2976004832390199,1.1362927541853487,0,0,81,81,0,2,79,1,0
7,5.025618871021307,3.4706003377229635,0.32273969559022214,1.232278837708121,0,0,102,102,0,2,100,1,0
8,5.710248619639386,4.017031901281762,0.3514223377723374,1.3417943805852883,0,0,130,130,0,2,128,1,0
9,6.455001798107888,4.617588812638978,0.38134986490864187,1.456063120560269,0,0,160,160,0,2,158,1,0
10,7.118336437733466,5.157107873442131,0.4070474378717863,1.554181126419548,0,0,189,189,0,2,187,1,0
11,7.672667841032353,5.610898227943485,0.4279144479995763,1.6338551650892918,0,0,217,217,0,2,215,1,0
12,8.360491842945482,6.177273920281147,0.4531207009303335,1.7300972217340014,0,0,255,255,0,2,253,1,0
13,8.957268560300685,6.671356073384364,0.4744346670958413,1.8114778198204853,0,0,293,293,0,2,291,1,0
14,9.562349741041581,7.174617526336489,0.4955670634293597,1.892165151275737,0,0,329,329,0,2,327,1,0
15,10.20309969288501,7.709860436309073,0.5174647513648163,1.9757745052111164,0,0,372,372,0,2,370,1,0
16,10.797221530692289,8.208111279150744,0.5373625050369242,2.0517477465046183,0,0,414,414,0,2,412,1,0
17,11.396977661521642,8.712855151084819,0.5570820304680186,2.127040479968799,0,0,452,452,0,2,450,1,0
18,11.953033422616503,9.182300752869779,0.5750577239096994,2.195674945837034,0,0,498,498,0,2,496,1,0
