Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.606247192648448,0.12470670705507725,0.4761528814830222,0,0,9,9,0,2,7,1,0
1,1.6827904422281617,0.9329608763310123,0.1556250042428046,0.5942045616543448,2,0,12,14,0,4,8,0.8571428571428571,0
2,2.1154019183190695,1.2420194589328963,0.18126805760845105,0.6921144017777221,5,1,12,18,0,5,7,0.6666666666666666,0.05555555555555555
3,2.4880868268294463,1.5149224025000927,0.20197752203062067,0.7711869022987333,5,3,12,20,0,7,5,0.6,0.15
4,2.990867196534145,1.8906613311364917,0.2283446135730978,0.8718612518245552,4,8,14,26,0,11,3,0.5384615384615384,0.3076923076923077
5,3.3886073806411363,2.1929042365436735,0.24816480349192627,0.9475383406055367,7,9,20,36,0,18,2,0.5555555555555556,0.25
6,4.034485178954869,2.691303933569815,0.27877346602331327,1.064407779361742,7,12,31,50,0,28,3,0.62,0.24
7,4.84759319360404,3.329517892943702,0.31507223221252284,1.2030030684478141,14,16,35,65,0,35,0,0.5384615384615384,0.24615384615384617
8,5.63586127815426,3.9573816825540264,0.3483636896528785,1.3301159059473537,10,28,48,86,0,48,0,0.5581395348837209,0.32558139534883723
9,6.323353206680409,4.511008388873655,0.376147037658005,1.4361977801487462,21,32,56,109,0,56,0,0.5137614678899083,0.29357798165137616
10,6.984429358473481,5.047874418570324,0.4019264969610316,1.5346284429421206,22,47,67,136,0,67,0,0.49264705882352944,0.34558823529411764
11,7.497870531654657,5.467534941021539,0.4213904056031,1.6089451850300176,27,57,87,171,0,87,0,0.5087719298245614,0.3333333333333333
12,8.05773522977719,5.927547568601119,0.4421144202440903,1.6880732409319814,33,71,107,211,0,107,0,0.5071090047393365,0.33649289099526064
13,8.885517247881692,6.611828500609821,0.4718976645281245,1.8017910827437476,38,81,144,263,0,144,0,0.5475285171102662,0.30798479087452474
14,9.704068579233638,7.2928026613689845,0.5004514169153058,1.9108145009493493,60,101,158,319,0,158,0,0.4952978056426332,0.3166144200626959
15,10.563114183689795,8.011565538667211,0.5295666999103473,2.0219819451122354,65,138,177,380,0,177,0,0.46578947368421053,0.3631578947368421
