Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
95,37.72352956390114,1.237278782128631,4.724155349945681,1250,3117,219,4586,0,46,173,0.047754034016572175,0.6796772786742259
96,37.69103975762565,1.2365682667745488,4.721442473139184,1236,3117,233,4586,0,40,193,0.05080680331443524,0.6796772786742259
97,37.72352956390113,1.2372787821286308,4.724155349945681,1250,3117,219,4586,0,47,172,0.047754034016572175,0.6796772786742259
98,37.69103975762565,1.2365682667745492,4.721442473139186,1236,3117,233,4586,0,45,188,0.05080680331443524,0.6796772786742259
99,37.723529563901145,1.2372787821286308,4.724155349945681,1250,3117,219,4586,0,31,188,0.047754034016572175,0.6796772786742259
100,37.69103975762566,1.2365682667745488,4.721442473139188,1236,3117,233,4586,0,45,188,0.05080680331443524,0.6796772786742259
101,37.723529563901145,1.237278782128631,4.724155349945683,1250,3117,219,4586,0,42,177,0.047754034016572175,0.6796772786742259
102,37.69103975762565,1.2365682667745492,4.721442473139188,1236,3117,233,4586,0,38,195,0.05080680331443524,0.6796772786742259
103,37.72352956390115,1.2372787821286308,4.724155349945683,1250,3117,219,4586,0,50,169,0.047754034016572175,0.6796772786742259
104,37.69103975762565,1.2365682667745486,4.721442473139186,1236,3117,233,4586,0,43,190,0.05080680331443524,0.6796772786742259
105,37.723529563901145,1.237278782128631,4.724155349945681,1250,3117,219,4586,0,35,184,0.047754034016572175,0.6796772786742259
106,37.691039757625624,1.2365682667745488,4.721442473139186,1236,3117,233,4586,0,39,194,0.05080680331443524,0.6796772786742259
107,37.72352956390113,1.2372787821286308,4.724155349945683,1250,3117,219,4586,0,49,170,0.047754034016572175,0.6796772786742259
108,37.691039757625646,1.2365682667745488,4.721442473139186,1236,3117,233,4586,0,57,176,0.05080680331443524,0.6796772786742259
109,37.723529563901145,1.2372787821286308,4.724155349945681,1250,3117,219,4586,0,43,176,0.047754034016572175,0.6796772786742259
110,37.69103975762567,1.2365682667745492,4.721442473139185,1236,3117,233,4586,0,36,197,0.05080680331443524,0.6796772786742259
111,37.72352956390116,1.237278782128631,4.724155349945683,1250,3117,219,4586,0,43,176,0.047754034016572175,0.6796772786742259
112,37.69103975762565,1.2365682667745492,4.721442473139188,1236,3117,233,4586,0,46,187,0.05080680331443524,0.6796772786742259
0,2.3251407699364424,0.19305994851394426,0.73713798523506,0,0,25,25,0,9,16,1,0
1,2.7195696311825164,0.21431840757878728,0.8183066471190059,10,0,25,35,0,5,20,0.7142857142857143,0
2,3.3593980938726973,0.2467366512548013,0.9420853957001503,12,9,20,41,0,4,16,0.4878048780487805,0.21951219512195122
3,3.670728863832662,0.261754539990172,0.9994264254170203,12,13,27,52,0,8,19,0.5192307692307693,0.25
4,4.182848150410256,0.28556660449646165,1.0903452171683081,12,21,29,62,0,10,19,0.46774193548387094,0.3387096774193548
5,4.838760908006763,0.31468940943075063,1.201541381462866,22,21,28,71,0,15,13,0.39436619718309857,0.29577464788732394
6,5.376671275172036,0.33759940699602264,1.2890159176211773,16,37,32,85,0,24,8,0.3764705882352941,0.43529411764705883
7,5.8786634000921065,0.3582985752548422,1.3680491055184885,19,43,38,100,0,31,7,0.38,0.43
8,6.483034712754332,0.3824531566642955,1.4602756890818551,19,52,51,122,0,44,7,0.4180327868852459,0.4262295081967213
9,7.049410499655244,0.40441558701599367,1.544132241333794,26,60,61,147,0,55,6,0.41496598639455784,0.40816326530612246
10,7.705090248472024,0.4291190931923241,1.638454719461601,29,74,71,174,0,68,3,0.40804597701149425,0.42528735632183906
11,8.106045516711157,0.44387979540631217,1.6948137642786467,40,82,81,203,0,77,4,0.39901477832512317,0.4039408866995074
12,8.721041208868206,0.4660561510950437,1.7794871223628939,45,95,97,237,0,93,4,0.4092827004219409,0.4008438818565401
13,9.634040370334981,0.49804088141994446,1.9016106381488787,57,114,105,276,0,103,2,0.3804347826086957,0.41304347826086957
14,10.464014501705835,0.5262493515811123,2.009315706036974,59,143,111,313,0,109,2,0.3546325878594249,0.45686900958466453
15,11.00596395212494,0.5442662558494479,2.078107522334254,70,163,122,355,0,120,2,0.3436619718309859,0.4591549295774648
16,11.387414568747529,0.5567703588062617,2.125850460896635,76,185,137,398,0,133,4,0.3442211055276382,0.4648241206030151
17,12.13612501368698,0.5809151633322169,2.2180397145411916,92,198,159,449,0,157,2,0.35412026726057905,0.44097995545657015
18,12.846916311375068,0.6033814418636333,2.3038200507520528,97,233,181,511,0,179,2,0.3542074363992172,0.45596868884540115
19,13.639864901080058,0.6279610847741294,2.3976695964103123,125,257,194,576,0,192,2,0.3368055555555556,0.4461805555555556
20,14.534012414977974,0.6551132294319025,2.5013414214672642,129,297,213,639,0,213,0,0.3333333333333333,0.4647887323943662
21,15.395720554322578,0.6807579131189196,2.5992574864540567,134,347,221,702,0,221,0,0.3148148148148148,0.4943019943019943
22,16.003768555417444,0.6985661323897504,2.6672525054881375,150,398,231,779,0,231,0,0.29653401797175866,0.5109114249037228
23,16.766215389046735,0.7205808438851381,2.7513086766523474,188,425,246,859,0,246,0,0.28637951105937137,0.4947613504074505
24,17.45314218797073,0.7401307300341047,2.8259536964938547,194,474,272,940,0,272,0,0.28936170212765955,0.5042553191489362
25,18.169142379852886,0.7602369442671848,2.9027228781110703,214,515,293,1022,0,293,0,0.28669275929549903,0.5039138943248532
26,18.80358391805264,0.7778331358738936,2.9699083369730497,213,580,311,1104,0,311,0,0.2817028985507246,0.5253623188405797
27,19.550058430232635,0.7982851644756259,3.047997900725118,221,630,342,1193,0,342,0,0.28667225481978204,0.5280804694048616
28,20.142718840016972,0.8143380836276873,3.109290864760262,239,688,370,1297,0,370,0,0.28527370855821127,0.5304548959136469
29,20.662177372764557,0.8282791746817063,3.1625204851483337,273,735,397,1405,0,397,0,0.2825622775800712,0.5231316725978647
30,21.33741423418868,0.846227648561363,3.231051021779748,276,787,455,1518,0,455,0,0.2997364953886693,0.5184453227931489
31,22.213471451768008,0.8692345386976454,3.31889551139101,306,848,485,1639,0,485,0,0.29591214154972545,0.5173886516168396
32,23.045885013042362,0.8908165540322344,3.4012995699412585,339,927,505,1771,0,505,0,0.28514963297571994,0.52343308865048
33,24.18527325196919,0.9199410901412122,3.512502344175537,372,1017,503,1892,0,503,0,0.26585623678646936,0.5375264270613108
34,25.036627164200052,0.9414051428709801,3.594456000052833,377,1146,496,2019,0,496,0,0.2456661713719663,0.5676077265973254
35,25.81470480876052,0.960809880875392,3.6685468178878584,412,1235,500,2147,0,500,0,0.2328830926874709,0.5752212389380531
36,26.608101955245626,0.9803969446878239,3.7433337888080542,423,1329,542,2294,0,542,0,0.23626852659110723,0.5793374019180471
37,27.55495115950155,1.0035194220570576,3.831619611490582,467,1412,559,2438,0,559,0,0.22928630024610336,0.579163248564397
38,28.444750410141456,1.0250084289662806,3.913668546962162,478,1538,568,2584,0,568,0,0.21981424148606812,0.5952012383900929
39,29.203418159107237,1.0431541173152075,3.98295208429443,493,1657,590,2740,0,590,0,0.21532846715328466,0.6047445255474453
40,30.03326798164552,1.0628233307227157,4.058052717304913,528,1755,611,2894,0,611,0,0.21112646855563233,0.6064270905321355
41,31.020375572481157,1.0859855657462858,4.146490341940362,552,1858,635,3045,0,635,0,0.20853858784893267,0.6101806239737274
42,31.825853371455306,1.1047043315040672,4.217961993015529,570,1998,645,3213,0,645,0,0.20074696545284781,0.6218487394957983
43,32.62647822967695,1.1231544537554463,4.288407914338973,591,2124,669,3384,0,669,0,0.1976950354609929,0.6276595744680851
44,33.3397226706016,1.1394641706796766,4.350681378958762,619,2243,707,3569,0,707,0,0.19809470439899132,0.6284673578033062
45,34.16816354535417,1.1582628043528724,4.422457980256423,646,2345,759,3750,0,759,0,0.2024,0.6253333333333333
46,34.95841087689777,1.1760536662507897,4.490386725684833,685,2473,759,3917,0,759,0,0.19377074291549656,0.6313505233597141
47,35.571868201786906,1.1897721574013853,4.542766419168929,712,2615,730,4057,0,730,0,0.17993591323638156,0.6445649494700517
48,35.93395698191328,1.1978323764214733,4.573541800881992,748,2721,700,4169,0,700,0,0.167905972655313,0.6526745022787239
49,36.32182331869639,1.2064364392889373,4.606393677285034,787,2792,674,4253,0,674,0,0.15847636962144368,0.6564777803903127
50,36.588015095269526,1.2123236707346419,4.62887219735045,813,2871,643,4327,0,643,0,0.14860180263461983,0.6635082042985903
51,36.816997956142906,1.2173765564394325,4.648165033677832,856,2913,623,4392,0,623,0,0.1418488160291439,0.6632513661202186
52,36.96272518024699,1.2205868141817975,4.660422381421411,894,2951,600,4445,0,600,0,0.13498312710911137,0.6638920134983127
53,37.13745986707228,1.2244305272944969,4.675098376942624,894,2999,590,4483,0,590,0,0.1316082980147223,0.66897167075619
54,37.32540756180215,1.2285581695284018,4.690858465472078,932,3021,557,4510,0,557,0,0.12350332594235033,0.6698447893569844
55,37.4118266055023,1.2304537486499312,4.698096131208828,924,3085,526,4535,0,526,0,0.11598676957001103,0.6802646085997794
0,2.325140769936442,0.1930599485139443,0.7371379852350599,0,0,25,25,0,5,20,1,0
1,2.765929726722634,0.21674717533468146,0.8275801240051474,13,0,18,31,0,7,11,0.5806451612903226,0
2,3.232514920755282,0.2404841053799172,0.9182120387233204,10,9,20,39,0,14,6,0.5128205128205128,0.23076923076923078
3,3.727301073079279,0.26443706893508917,1.0096688086612493,10,13,27,50,0,21,6,0.54,0.26
4,4.190784549184942,0.2859277068335554,1.091723971546302,9,21,32,62,0,24,8,0.5161290322580645,0.3387096774193548
5,4.667391299084578,0.30721481846607657,1.1730020341432017,16,21,39,76,0,34,5,0.5131578947368421,0.27631578947368424
6,5.12756320784804,0.3270895733054431,1.2488874617116918,15,33,44,92,0,40,4,0.4782608695652174,0.358695652173913
7,5.572805876257007,0.3457604344207535,1.320176204151968,21,35,59,115,0,54,5,0.5130434782608696,0.30434782608695654
8,6.23809059716077,0.37275814088235165,1.423258356096252,33,41,67,141,0,63,4,0.475177304964539,0.2907801418439716
9,6.8547324154514575,0.39693526912520344,1.5155710275689587,35,57,83,175,0,81,2,0.4742857142857143,0.32571428571428573
10,7.614370256344065,0.4257441401631773,1.6255685351684945,54,67,90,211,0,90,0,0.4265402843601896,0.3175355450236967
11,8.402556440183897,0.45463930314964124,1.7358955211168128,50,95,109,254,0,109,0,0.42913385826771655,0.37401574803149606
12,9.167154865465026,0.48181730851158455,1.8396660870442318,65,117,113,295,0,113,0,0.38305084745762713,0.39661016949152544
13,9.844244811215349,0.505259268243399,1.929171751474795,77,145,115,337,0,115,0,0.34124629080118696,0.43026706231454004
14,10.519312049268887,0.5281017144739234,2.0163883643549796,79,177,125,381,0,125,0,0.32808398950131235,0.4645669291338583
15,11.161606301625994,0.5493854479162747,2.097653528407595,94,192,153,439,0,153,0,0.34851936218678814,0.43735763097949887
16,11.957110647060059,0.5751884860379656,2.1961742194176868,112,222,164,498,0,164,0,0.3293172690763052,0.4457831325301205
17,12.733356336825572,0.5998204666112272,2.290223599788322,131,258,174,563,0,174,0,0.30905861456483125,0.458259325044405
18,13.524668720815285,0.6244204374956768,2.3841507613471298,152,291,189,632,0,189,0,0.2990506329113924,0.46044303797468356
19,14.334024284083421,0.649089786863724,2.4783428225705832,157,346,194,697,0,194,0,0.2783357245337159,0.4964131994261119
0,2.325140769936443,0.19305994851394426,0.7371379852350601,0,0,25,25,0,5,20,1,0
1,2.560630078413466,0.2058846239931825,0.7861049279739697,12,0,16,28,0,4,12,0.5714285714285714,0
2,3.022141348630325,0.22993365016635403,0.8779284824533518,9,9,16,34,0,8,8,0.47058823529411764,0.2647058823529412
3,3.3993729065267404,0.2486901347356928,0.9495441508090086,10,9,26,45,0,14,12,0.5777777777777777,0.2
4,3.8621609265096963,0.2707777212048475,1.0338785718730539,12,13,32,57,0,20,12,0.5614035087719298,0.22807017543859648
5,4.354098458378763,0.29330863499376914,1.1199056972489365,13,21,37,71,0,27,10,0.5211267605633803,0.29577464788732394
6,4.922822142738505,0.3183235592223076,1.215417226121538,18,25,43,86,0,33,10,0.5,0.29069767441860467
7,5.549461647291614,0.34479417593350203,1.3164868535642806,22,36,49,107,0,39,10,0.45794392523364486,0.3364485981308411
8,6.185494426981792,0.37065992351411525,1.4152469806902586,30,43,57,130,0,49,8,0.43846153846153846,0.33076923076923076
9,6.871616247113983,0.39758679371485367,1.5180586669112597,32,55,75,162,0,64,11,0.46296296296296297,0.3395061728395062
10,7.515383896146156,0.4220463335069375,1.6114496370264884,52,64,80,196,0,67,13,0.40816326530612246,0.32653061224489793
11,8.301710331027541,0.45099431653023825,1.721978299479091,53,87,89,229,0,77,12,0.388646288209607,0.3799126637554585
12,9.113714803215226,0.47994297715489986,1.8325095491368895,57,111,98,266,0,85,13,0.3684210526315789,0.41729323308270677
13,9.874691476527444,0.5063005223805764,1.9331474490894742,71,134,96,301,0,85,11,0.31893687707641194,0.44518272425249167
14,10.538840331308066,0.5287550988367159,2.018883104649279,72,163,106,341,0,95,11,0.31085043988269795,0.4780058651026393
15,11.352743970103749,0.5556396736851872,2.1215332995252596,96,176,110,382,0,104,6,0.2879581151832461,0.4607329842931937
16,12.066759267635408,0.5786995139178737,2.2095799622318806,87,216,129,432,0,123,6,0.2986111111111111,0.5
17,12.778584170792023,0.6012399690743525,2.295643518283891,100,246,138,484,0,129,9,0.28512396694214875,0.5082644628099173
18,13.632732207570626,0.6277421459283917,2.396833648090222,122,265,156,543,0,150,6,0.287292817679558,0.4880294659300184
19,14.324998693827865,0.6488172868169727,2.4773023678466224,127,305,169,601,0,162,7,0.281198003327787,0.5074875207986689
20,14.920095320617449,0.6666641226333884,2.545444831872938,133,347,193,673,0,185,8,0.2867756315007429,0.5156017830609212
21,15.67619552624775,0.6890009165524243,2.630730772291075,155,374,208,737,0,200,8,0.28222523744911804,0.5074626865671642
22,16.305401722549636,0.7073163338962646,2.7006623657857367,164,414,226,804,0,220,6,0.2810945273631841,0.5149253731343284
23,17.043574392374957,0.7285060098827116,2.781568401370355,182,450,248,880,0,246,2,0.2818181818181818,0.5113636363636364
24,17.69457583511254,0.7469406973319306,2.851955389812825,191,506,266,963,0,262,4,0.2762201453790239,0.5254413291796469
25,18.297414239308033,0.7638108653700003,2.9163687586854556,196,546,309,1051,0,307,2,0.2940057088487155,0.5195052331113226
26,19.03745248156347,0.7842693452061194,2.994482954423363,223,593,326,1142,0,324,2,0.28546409807355516,0.5192644483362522
27,19.942224132610953,0.8089252910424097,3.0886238385255638,243,647,351,1241,0,347,4,0.28283642224012895,0.5213537469782433
28,20.657772843598245,0.828161461711379,3.162071035625267,271,710,354,1335,0,350,4,0.2651685393258427,0.5318352059925093
29,21.36963688104789,0.8470793867630689,3.234303113095355,286,774,376,1436,0,372,4,0.2618384401114206,0.5389972144846796
30,22.021890850225663,0.8642295047087758,3.2997853816153233,298,846,404,1548,0,398,6,0.26098191214470284,0.5465116279069767
31,22.9800895337081,0.889120238854478,3.394822730171643,335,893,434,1662,0,430,4,0.2611311672683514,0.5373044524669074
32,23.846450520798488,0.9113289813625158,3.4796197470205135,351,991,438,1780,0,436,2,0.24606741573033708,0.5567415730337079
33,24.45827305703524,0.9268509042691543,3.5388852708458653,361,1084,462,1907,0,462,0,0.2422653382275826,0.5684320922915574
34,25.233037873806584,0.9463222358053824,3.61323035489328,402,1132,504,2038,0,504,0,0.24730127576054955,0.5554465161923454
35,25.961065284166576,0.9644380982954681,3.6824000116736055,418,1234,517,2169,0,517,0,0.23835869064084833,0.5689257722452743
36,26.622875353705464,0.9807598029576147,3.744719247656348,423,1313,577,2313,0,577,0,0.24945957630782534,0.567661046260268
37,27.471263616683906,1.0014865232111805,3.8238576340790535,500,1374,587,2461,0,587,0,0.2385209264526615,0.5583096302316132
38,28.292346711114725,1.0213439002654612,3.8996767101044894,507,1497,602,2606,0,602,0,0.23100537221795855,0.5744435917114351
39,29.27261171671984,1.0448012092369994,3.9892409807230913,516,1612,636,2764,0,636,0,0.2301013024602026,0.5832127351664255
40,30.169761550792376,1.0660410710844097,4.070338635049565,528,1749,656,2933,0,656,0,0.2236617797476986,0.5963177633822025
41,31.030219159406023,1.0862152949232826,4.14736748970708,579,1855,662,3096,0,662,0,0.21382428940568476,0.5991602067183462
42,31.86442315311824,1.1055966794713894,4.22136913979985,597,1973,703,3273,0,703,0,0.21478765658417354,0.6028108768713718
43,32.78552104949858,1.1268014882770256,4.30233295523955,623,2101,731,3455,0,731,0,0.21157742402315485,0.6081041968162084
44,33.68232026080077,1.1472569195685152,4.380435511079787,668,2238,733,3639,0,733,0,0.2014289640010992,0.6150041220115416
45,34.57771125377298,1.167499887488398,4.45772684313752,720,2359,738,3817,0,738,0,0.19334555933979566,0.6180246266701598
46,35.23511832671517,1.1822514119157268,4.514050845496411,761,2501,717,3979,0,717,0,0.18019602915305352,0.6285498869062579
47,35.81055487853725,1.1950884580523498,4.563065021654425,768,2627,725,4120,0,725,0,0.17597087378640777,0.637621359223301
48,36.17301376346916,1.203139026236009,4.593803554719306,783,2734,712,4229,0,712,0,0.16836131473161503,0.6464885315677465
49,36.432815102332256,1.2088929317437387,4.615773012112458,813,2797,700,4310,0,700,0,0.16241299303944315,0.6489559164733179
50,36.70666201334625,1.2149431230199348,4.638873742439747,831,2862,671,4364,0,671,0,0.15375802016498624,0.655820348304308
51,36.89698722433631,1.2191391812911825,4.654895055839062,878,2911,615,4404,0,615,0,0.1396457765667575,0.6609900090826522
52,36.96907414281556,1.2207265808994716,4.660956036161617,873,2961,609,4443,0,609,0,0.13706954760297096,0.6664415935178933
53,37.16133859106931,1.2249553290513533,4.677102165468803,889,2991,595,4475,0,595,0,0.1329608938547486,0.6683798882681564
54,37.328371094159365,1.2286231980429088,4.691106756163834,898,3037,569,4504,0,569,0,0.12633214920071048,0.6742895204262878
55,37.4184682537346,1.23059937103595,4.698652143955446,909,3086,531,4526,0,531,0,0.11732213875386655,0.6818382677861247
56,37.47939697437954,1.2319348704195128,4.703751323419959,947,3087,509,4543,0,509,0,0.11204050187101035,0.6795069337442219
57,37.52735465118728,1.2329855479755945,4.707763001361364,977,3087,497,4561,0,497,0,0.1089673317254988,0.6768252576189432
58,37.60080745506856,1.234593916550684,4.7139040450117,992,3095,490,4577,0,490,0,0.10705702425169325,0.6762071225693685
59,37.65683559009593,1.235820039642126,4.718585605906299,1001,3111,478,4590,0,478,0,0.10413943355119826,0.6777777777777778
60,37.71694199671308,1.2371347359689024,4.723605355517627,1029,3111,456,4596,0,456,0,0.09921671018276762,0.6768929503916449
61,37.71756174037997,1.2371482878685263,4.723657099134374,1030,3111,457,4598,0,457,0,0.09939103958242715,0.6765985210961287
0,2.325140769936443,0.19305994851394426,0.7371379852350601,0,0,25,25,0,3,22,1,0
1,2.6065671519165625,0.20833966610075158,0.7954787251119605,10,0,21,31,0,3,18,0.6774193548387096,0
2,3.0853884559353255,0.233130584213677,0.8901349579067667,9,9,19,37,0,4,15,0.5135135135135135,0.24324324324324326
3,3.5713020968356295,0.2570062852081352,0.9812967253401524,16,9,17,42,0,6,11,0.40476190476190477,0.21428571428571427
4,3.9845694066020942,0.27646932312341266,1.0556101428348486,8,21,22,51,0,7,15,0.43137254901960786,0.4117647058823529
5,4.848284615804615,0.3151021911012718,1.2031174569321288,16,21,23,60,0,11,12,0.38333333333333336,0.35
6,5.455489762510115,0.34089072254168484,1.301582758795524,12,34,25,71,0,14,11,0.352112676056338,0.4788732394366197
7,6.016332390927901,0.3638708231908499,1.3893249612741543,16,37,32,85,0,20,12,0.3764705882352941,0.43529411764705883
8,6.735990132772249,0.39233794534067656,1.4980176094825832,17,43,43,103,0,28,15,0.4174757281553398,0.4174757281553398
9,7.6465349302588255,0.4269422518075266,1.6301431432651015,25,50,44,119,0,34,10,0.3697478991596639,0.42016806722689076
10,8.251286660379016,0.4491662697640575,1.7149984845536739,25,65,48,138,0,36,12,0.34782608695652173,0.47101449275362317
11,8.836566827126392,0.4701629427328395,1.7951675995253866,27,73,55,155,0,46,9,0.3548387096774194,0.47096774193548385
12,9.168317598605547,0.48185804911346247,1.8398216420695834,31,83,61,175,0,52,9,0.3485714285714286,0.4742857142857143
13,10.08404830113665,0.5134316418943726,1.960375359960332,42,87,71,200,0,64,7,0.355,0.435
14,10.762955966708368,0.536225003620034,2.047404559276494,43,107,78,228,0,68,10,0.34210526315789475,0.4692982456140351
15,11.317437878656381,0.5544870802459807,2.1171324882119262,46,123,89,258,0,78,11,0.3449612403100775,0.47674418604651164
16,12.011677873903796,0.5769371033749301,2.202850758340642,50,136,103,289,0,97,6,0.356401384083045,0.47058823529411764
17,12.66986172183333,0.5978248109532823,2.2826038236398047,61,155,104,320,0,99,5,0.325,0.484375
18,13.527429726625002,0.6245054165236364,2.3844752267266114,71,168,117,356,0,111,6,0.32865168539325845,0.47191011235955055
19,14.215071515417932,0.6454937642124446,2.4646125542656985,75,194,124,393,0,118,6,0.3155216284987277,0.49363867684478374
20,14.72722390810159,0.6609063810293553,2.5234607275666288,82,217,135,434,0,130,5,0.31105990783410137,0.5
21,15.05444174805437,0.6706600786394045,2.5607021184413625,83,237,159,479,0,152,7,0.33194154488517746,0.49478079331941544
22,15.500455460021287,0.6838418228934897,2.6110324146842343,98,248,184,530,0,174,10,0.3471698113207547,0.4679245283018868
23,16.034222330266,0.6994520584869862,2.670635132404857,99,272,214,585,0,207,7,0.3658119658119658,0.46495726495726497
24,16.7914572914865,0.7213038959690883,2.754069420972882,116,297,228,641,0,224,4,0.35569422776911075,0.46333853354134164
25,18.011308710194527,0.7558278061997181,2.885887987308016,126,331,238,695,0,238,0,0.3424460431654676,0.4762589928057554
26,18.837551596688208,0.7787695969847425,2.9734839157599264,128,395,237,760,0,237,0,0.3118421052631579,0.5197368421052632
27,19.62611080108321,0.8003541159947112,3.0558975337979875,151,429,243,823,0,243,0,0.29526123936816523,0.5212636695018226
28,20.539522784871625,0.8249980419824856,3.149992523933126,164,467,254,885,0,254,0,0.28700564971751413,0.5276836158192091
29,20.617592772580583,0.8270872451454477,3.1579694814644355,165,521,267,953,0,267,0,0.2801678908709339,0.546694648478489
30,21.216973310035705,0.8430402406460856,3.2188809188305094,185,523,327,1035,0,327,0,0.3159420289855073,0.5053140096618357
31,22.097248119070308,0.8661999346245762,3.3073088412938367,204,565,349,1118,0,349,0,0.31216457960644006,0.5053667262969589
32,22.753048137467502,0.8832542630553611,3.372425368029559,228,621,351,1200,0,351,0,0.2925,0.5175
33,23.328374141008897,0.8980813266902501,3.429037792817317,226,679,382,1287,0,382,0,0.29681429681429683,0.5275835275835276
34,24.023623676219295,0.9158373742061541,3.496833610605313,254,717,414,1385,0,414,0,0.29891696750902524,0.5176895306859206
35,24.34757608964493,0.9240522020701911,3.5281993169952757,274,770,443,1487,0,443,0,0.29791526563550774,0.5178211163416274
36,25.276709692414038,0.9474138126809263,3.617398193872626,293,803,496,1592,0,496,0,0.31155778894472363,0.5043969849246231
37,25.712059966771935,0.9582612649583959,3.6588157389320584,298,890,516,1704,0,516,0,0.3028169014084507,0.5223004694835681
38,26.573738512319093,0.9795526637437592,3.740110170657991,328,930,563,1821,0,563,0,0.30917078528281167,0.5107084019769358
39,27.339142448220656,0.9982728897237843,3.811587397127177,344,1017,587,1948,0,587,0,0.3013347022587269,0.5220739219712526
40,27.351918743733727,0.9985838781725448,3.8127748075679,358,1102,621,2081,0,621,0,0.2984142239308025,0.5295530994714079
41,28.624373403004224,1.0293190509227133,3.9301272853412663,375,1126,715,2216,0,715,0,0.32265342960288806,0.5081227436823105
42,29.325075046605342,1.0460491878571576,3.994005990000056,402,1256,699,2357,0,699,0,0.2965634280865507,0.532880780653373
43,30.170144919476687,1.066050101890452,4.070373116308996,409,1352,740,2501,0,740,0,0.2958816473410636,0.5405837664934027
44,31.11360807954397,1.0881604482201974,4.154794438658936,441,1447,761,2649,0,761,0,0.2872782181955455,0.546243865609664
45,31.191683145743916,1.0899800744681871,4.161742102514897,461,1556,783,2800,0,783,0,0.27964285714285714,0.5557142857142857
46,31.321632357020185,1.0930053228261156,4.173293050790623,498,1578,876,2952,0,876,0,0.2967479674796748,0.5345528455284553
47,31.757305811275945,1.1031175294179436,4.211903294141239,503,1628,966,3097,0,966,0,0.3119147562156926,0.5256700032289312
48,32.05115622811318,1.1099118441226759,4.237845223013853,500,1728,989,3217,0,989,0,0.3074292819396954,0.5371464096984768
49,32.529543422801815,1.120928720786283,4.2799096611839875,528,1784,1015,3327,0,1015,0,0.30507965133754134,0.5362188157499248
50,33.438852757647794,1.1417217235659158,4.359301126342587,569,1882,976,3427,0,976,0,0.2847971987160782,0.5491683688357164
51,33.78148359858539,1.1495075577851082,4.389028856997686,588,2023,902,3513,0,902,0,0.25676060347281526,0.5758610873896954
52,33.967628256807025,1.1537264106229363,4.4051372041966665,582,2110,897,3589,0,897,0,0.24993034271384787,0.58790749512399
53,33.97913810242718,1.1539870207730614,4.406132261133507,601,2169,896,3666,0,896,0,0.24440807419530824,0.5916530278232406
54,34.142467380357516,1.157682017233682,4.420240429437694,630,2204,903,3737,0,903,0,0.24163767728124164,0.5897778967085898
55,34.29867212858881,1.161210327319945,4.43371215885797,630,2261,915,3806,0,915,0,0.24040987913820283,0.594062007356805
56,34.45416218037777,1.1647171784388117,4.4471019540390975,657,2322,899,3878,0,899,0,0.23182052604435277,0.5987622485817432
57,34.72591123327241,1.1708334433470446,4.4704549655069,700,2362,883,3945,0,883,0,0.2238276299112801,0.5987325728770596
58,35.06685181671796,1.1784844884417902,4.499668046777743,699,2445,869,4013,0,869,0,0.21654622476949914,0.6092698729130327
59,35.461026917500305,1.1872993333645778,4.533324727392026,713,2516,846,4075,0,846,0,0.20760736196319018,0.6174233128834355
60,35.79576435644003,1.1947593707336368,4.561808506437521,755,2607,768,4130,0,768,0,0.18595641646489103,0.6312348668280872
61,35.81032626382262,1.195083371747517,4.563045601217792,758,2676,753,4187,0,753,0,0.17984236923811797,0.6391210890852639
62,36.12393837179506,1.2020505927756837,4.589647717870791,788,2693,753,4234,0,753,0,0.17784600850259802,0.6360415682569674
63,36.1995041672312,1.2037263471228683,4.596046052650953,795,2766,722,4283,0,722,0,0.16857342983889798,0.6458090123745038
64,36.366401724601076,1.207423357773202,4.610161911497676,824,2793,711,4328,0,711,0,0.16427911275415896,0.6453327171903882
65,36.71774700986675,1.2151877100930124,4.639807620355137,839,2848,680,4367,0,680,0,0.1557133043279139,0.6521639569498512
66,36.976099045493264,1.2208812185087266,4.661546470669682,882,2902,617,4401,0,617,0,0.14019541013406045,0.6593955919109293
67,37.03646106592607,1.2222095508249378,4.666618284967943,872,2970,592,4434,0,592,0,0.13351375732972484,0.6698240866035182
68,37.17560016579789,1.2252687134342828,4.678298724021807,888,2993,583,4464,0,583,0,0.13060035842293907,0.6704749103942652
69,37.25518268276241,1.2270167275538624,4.684972959751111,922,3013,556,4491,0,555,1,0.12380316187931419,0.6708973502560677
70,37.38021167930753,1.2297604529929287,4.695449002336637,948,3036,533,4517,0,522,11,0.11799867168474651,0.6721275182643347
71,37.54378058826512,1.2333453116028312,4.709136644301718,1017,3071,444,4532,0,423,21,0.09796999117387467,0.6776257722859664
72,37.55998881659898,1.2337002555115366,4.7104918846804145,1066,3079,399,4544,0,357,42,0.0878080985915493,0.6775968309859155
73,37.626039581103214,1.2351461732424724,4.716012661471261,1084,3079,393,4556,0,329,64,0.08625987708516242,0.6758121158911325
74,37.64107778927424,1.2354752564769105,4.717269161093661,1100,3095,370,4565,0,298,72,0.08105147864184009,0.6779846659364732
75,37.69754536193996,1.2367105533321165,4.721985749086261,1142,3095,333,4570,0,257,76,0.07286652078774616,0.6772428884026258
76,37.69594982821291,1.236675657561953,4.721852510691099,1151,3095,327,4573,0,233,94,0.07150666958233107,0.6767986004810846
