Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.606247192648448,0.12470670705507725,0.47615288148302226,0,0,9,9,0,3,6,1,0
1,1.5107491837076636,0.8129387665798059,0.14482857713974398,0.5529818399881133,0,0,13,13,0,3,10,1,0
2,1.9870583476091837,1.1493690835632702,0.17386003593405755,0.6638292281118562,0,0,21,21,0,3,18,1,0
3,2.5844513645017733,1.5863190590675607,0.20715953509011953,0.7909727703440927,0,0,32,32,0,3,29,1,0
4,3.304862750480086,2.128941726631682,0.2440590804213666,0.9318619434270358,0,0,47,47,0,3,44,1,0
5,3.9779770691209713,2.6473672626970934,0.27616429944646487,1.0544455069774112,0,0,66,66,0,3,63,1,0
6,4.574789869136325,3.114216750287954,0.3031378171194732,1.1574353017288974,0,0,83,83,0,3,80,1,0
7,5.001546632947317,3.4514976664945634,0.3217082760562317,1.228340690396521,0,0,98,98,0,3,95,1,0
8,5.590398755929524,3.9209578115951045,0.34648774316374725,1.322953201170671,0,0,121,121,0,3,118,1,0
9,6.114291251565038,4.342116202120806,0.3678099159223872,1.4043651335218423,0,0,145,145,0,3,142,1,0
10,6.765351849569731,4.869506991447414,0.39347723470463175,1.5023676234176844,0,0,174,174,0,3,171,1,0
