Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.6062471926484481,0.12470670705507725,0.4761528814830222,0,0,9,9,0,0,9,1,0
1,1.5698878004991068,0.8539835416582915,0.14858390277828243,0.5673203560625328,3,0,9,12,0,0,9,0.75,0
2,2.085855448305039,1.2206245735167862,0.17957621929567508,0.6856546554925775,5,1,10,16,0,0,10,0.625,0.0625
3,2.4200809997571477,1.4647310811698373,0.19828017178227186,0.7570697468050381,4,4,11,19,0,0,11,0.5789473684210527,0.21052631578947367
4,3.0444103954296886,1.9311126392987372,0.23106179844227281,0.882235957688678,3,8,14,25,0,0,14,0.56,0.32
5,3.0437358655227347,1.9306025594861422,0.23102766729061366,0.8821056387459792,3,9,17,29,0,0,17,0.5862068965517241,0.3103448275862069
6,3.3195313442284955,2.1401333483758043,0.2447807161203699,0.9346172797323213,5,9,24,38,0,0,24,0.631578947368421,0.23684210526315788
7,3.5851725108638846,2.3436653138874304,0.25767130503284874,0.9838358919436045,9,11,24,44,0,0,24,0.5454545454545454,0.25
8,4.0624622881735055,2.7130786767790704,0.2800607495346941,1.0693228618597412,10,17,29,56,0,0,29,0.5178571428571429,0.30357142857142855
9,4.682938258287135,3.199436185227789,0.30789665667269434,1.1756054163866512,19,19,29,67,0,0,29,0.43283582089552236,0.2835820895522388
10,5.205259909092062,3.613402550638395,0.33038548949038377,1.2614718689632833,15,31,32,78,0,0,32,0.41025641025641024,0.3974358974358974
11,5.589441882537795,3.9201914421086905,0.3464482046173614,1.322802235811744,13,40,37,90,0,0,37,0.4111111111111111,0.4444444444444444
12,6.051531894293717,4.291504527921985,0.36528869868092545,1.394738667690806,22,40,47,109,0,0,47,0.43119266055045874,0.3669724770642202
13,6.55612525536974,4.699572201350962,0.38532233196616195,1.4712307220526182,25,51,46,122,0,0,46,0.3770491803278688,0.4180327868852459
14,6.829038114903078,4.921314038686263,0.39594273279971637,1.5117813434170984,31,58,52,141,0,0,52,0.36879432624113473,0.41134751773049644
15,7.837641326692854,5.746422598623841,0.43402652846715356,1.657192199601859,50,58,50,158,0,0,50,0.31645569620253167,0.3670886075949367
16,8.300158486759114,6.127456676004162,0.450938111666122,1.7217636990888296,37,87,50,174,0,0,50,0.28735632183908044,0.5
17,8.87692801223738,6.604704750547861,0.4715935071431078,1.8006297545464114,40,100,55,195,0,0,55,0.28205128205128205,0.5128205128205128
18,9.581530560921776,7.190606427536464,0.496229537117706,1.8946945962676045,42,113,62,217,0,0,62,0.2857142857142857,0.5207373271889401
19,10.012457074468148,7.550372421420561,0.5109987015759144,1.9510859514716727,47,128,62,237,0,0,62,0.2616033755274262,0.540084388185654
20,10.788880777445309,8.201104073364439,0.5370857310356528,2.0506909730452203,56,140,64,260,0,0,64,0.24615384615384617,0.5384615384615384
21,11.26756136815714,8.60379688310191,0.5528567799171236,2.110907705138108,52,162,70,284,0,0,70,0.24647887323943662,0.5704225352112676
22,11.631056387059347,8.910306350242733,0.5646839699053342,2.156066066911277,53,177,78,308,0,0,78,0.2532467532467532,0.5746753246753247
23,12.34224419944309,9.511686842820584,0.5874741683556157,2.2430831882668962,66,178,94,338,0,0,94,0.2781065088757396,0.5266272189349113
24,12.962011593590187,10.037472216046098,0.6069798708110369,2.3175595067330503,68,209,91,368,0,0,91,0.24728260869565216,0.5679347826086957
25,13.542770134794363,10.531515087002308,0.6249774627492938,2.3862775850427576,72,223,110,405,0,0,110,0.2716049382716049,0.5506172839506173
26,14.304132239124673,11.1810490887917,0.6481870689370335,2.4748960813959453,83,243,117,443,0,0,117,0.26410835214446954,0.5485327313769752
27,14.8524705474316,11.650074781976416,0.6646481777359817,2.537747587719204,92,272,120,484,0,0,120,0.24793388429752067,0.5619834710743802
28,15.305146534757418,12.038008143720024,0.6780853264417248,2.5890530645956766,103,287,132,522,0,0,132,0.25287356321839083,0.5498084291187739
29,15.859442820392063,12.513890547769051,0.6943599056387368,2.651192366984268,120,299,152,571,0,0,152,0.266199649737303,0.5236427320490368
30,16.74649119320141,13.277325152044668,0.7200155934476254,2.7491504477091144,120,332,169,621,0,0,169,0.2721417069243156,0.534621578099839
31,17.409291266673446,13.849182522209338,0.7388904941340586,2.8212182503300416,126,374,182,682,0,0,182,0.2668621700879765,0.5483870967741935
32,18.103816641364745,14.449642013459744,0.7584136020180178,2.895761025886978,151,400,189,740,0,0,189,0.2554054054054054,0.5405405405405406
33,18.991897367936463,15.219175644689667,0.7830177161455599,2.9897040071012273,153,445,208,806,0,0,208,0.25806451612903225,0.5521091811414393
34,19.805919254678393,15.926150221169724,0.8052350824263259,3.0745339510823344,163,486,234,883,0,0,234,0.2650056625141563,0.5503963759909399
35,20.561940304568246,16.584057973068262,0.8255982197452799,3.152284111754706,190,529,231,950,0,0,231,0.2431578947368421,0.5568421052631579
36,21.290349965051465,17.219069045947116,0.8449828322669389,3.226298086837403,196,584,242,1022,0,0,242,0.23679060665362034,0.5714285714285714
37,21.989385520820573,17.829469162217904,0.8633788668797989,3.296537491722869,196,634,271,1101,0,0,271,0.24613987284287012,0.5758401453224341
38,22.656283406737106,18.412678117794542,0.8807482675163822,3.3628570214261875,221,674,291,1186,0,0,291,0.24536256323777403,0.5682967959527825
39,23.51273378674304,19.16284699733732,0.9028066921408117,3.447080097264917,234,727,314,1275,0,0,314,0.24627450980392157,0.5701960784313725
40,23.976027358064737,19.56918664287997,0.9146273182458947,3.4922133969388707,244,791,342,1377,0,0,342,0.24836601307189543,0.5744371822803195
41,24.832537166012298,20.321359490820555,0.9362821590020571,3.5748955161896725,278,826,380,1484,0,0,380,0.2560646900269542,0.5566037735849056
42,25.425361453213696,20.842669905198427,0.9511246609088315,3.631566887106447,281,910,417,1608,0,0,417,0.2593283582089552,0.5659203980099502
43,26.071296682166956,21.411314128155446,0.9671661904552159,3.6928163635562794,321,954,458,1733,0,0,458,0.2642815926139642,0.5504904789382573
44,26.80622647319923,22.059076074419913,0.9852576299353349,3.7618927688440054,345,1027,498,1870,0,0,498,0.2663101604278075,0.5491978609625668
45,27.396115878918962,22.57957556906181,0.9996593095929901,3.8168810002641442,375,1100,541,2016,0,0,541,0.2683531746031746,0.5456349206349206
46,28.66884194997971,23.70426054213192,1.0303848204967123,3.9341965873510842,396,1173,600,2169,0,0,600,0.2766251728907331,0.5408022130013831
47,29.273858204183846,24.239673108720783,1.044830868869692,3.9893542265933704,426,1306,599,2331,0,0,599,0.25697125697125694,0.5602745602745602
48,30.269203449158393,25.1215433275284,1.0683822893949033,4.079277832235085,441,1401,653,2495,0,0,653,0.26172344689378757,0.5615230460921844
0,1.2071067811865475,0.606247192648448,0.12470670705507728,0.47615288148302226,0,0,9,9,0,0,9,1,0
1,1.530421515165979,0.8265664429803427,0.1460831281894718,0.5577719439961651,0,0,13,13,0,0,13,1,0
2,1.880363784793135,1.072935817122934,0.1675793895164568,0.6398485781537441,0,0,19,19,0,0,19,1,0
3,2.3642148717912415,1.4236245635088578,0.1952168564359665,0.7453734518464173,0,0,26,26,0,0,26,1,0
0,1.2071067811865475,0.6062471926484481,0.12470670705507725,0.47615288148302226,0,0,9,9,0,2,7,1,0
1,1.7267792826158206,0.9639387584004372,0.15832539181828717,0.6045151323970964,0,0,16,16,0,2,14,1,0
2,2.3976772469601233,1.4482325256246016,0.19705456480548555,0.7523901565300358,0,0,27,27,0,3,24,1,0
3,2.84503949707399,1.7808930412788901,0.22086058516502066,0.8432858706300786,0,0,38,38,0,3,35,1,0
4,3.368548388792465,2.177568586244105,0.2471844873213577,0.943795315227002,0,0,50,50,0,3,47,1,0
5,3.9005258521519535,2.587243897764556,0.2725679527973843,1.040714001590013,0,0,65,65,0,3,62,1,0
6,4.764470072459817,3.263798674636213,0.3114601014350876,1.1892112963885162,1,0,88,89,0,2,86,0.9887640449438202,0
0,1.2071067811865475,0.6062471926484481,0.12470670705507728,0.47615288148302226,0,0,9,9,0,1,8,1,0
1,1.58470201226858,0.8643010639128433,0.14951717796062458,0.5708837703951121,0,0,14,14,0,1,13,1,0
2,2.031997945538955,1.1817256161784422,0.17647161552765345,0.6738007138328587,0,0,21,21,0,1,20,1,0
3,2.430604030843672,1.4724867378377937,0.19885453251065388,0.7592627604952239,0,0,29,29,0,1,28,1,0
4,3.1541507672789066,2.0142575521100246,0.2365816106954281,0.9033116044734527,0,0,46,46,0,1,45,1,0
5,3.8326658613506095,2.534660433676827,0.2693973529134265,1.0286080747603554,0,0,60,60,0,1,59,1,0
6,4.262177674116578,2.86892387432893,0.2891658829747948,1.1040879168128528,2,0,73,75,0,0,73,0.9733333333333334,0
7,4.937093397974103,3.4003898345816657,0.3189384754210718,1.217765087971365,1,2,96,99,0,0,96,0.9696969696969697,0.020202020202020204
8,5.790141154411826,4.081167751447144,0.35469259306814116,1.3542808098965389,5,3,121,129,0,0,121,0.937984496124031,0.023255813953488372
9,6.376458780622262,4.553981006244554,0.37825010411612864,1.444227670261582,2,8,144,154,0,0,144,0.935064935064935,0.05194805194805195
10,6.97790580234243,5.0425568967594785,0.40167618795117843,1.5336727176317722,13,10,163,186,0,0,163,0.8763440860215054,0.053763440860215055
11,7.609933299322768,5.559417579399408,0.4255787343237162,1.6249369855996434,10,23,184,217,0,0,184,0.847926267281106,0.10599078341013825
12,8.254249589149987,6.089566783722516,0.4492737898057023,1.7154090156217723,10,33,209,252,0,0,209,0.8293650793650794,0.13095238095238096
13,8.857473789359922,6.588571533874465,0.4709042417045294,1.7979980137809302,20,43,225,288,0,0,225,0.78125,0.14930555555555555
14,9.482689029576585,7.108236223419874,0.492810959768375,1.8816418463883402,29,63,231,323,0,0,231,0.7151702786377709,0.19504643962848298
15,10.20035058243051,7.7075591961519345,0.5173717971521578,1.97541958912642,18,92,261,371,0,0,261,0.7035040431266847,0.24797843665768193
16,10.865690837320821,8.265646430275215,0.5396318580660707,2.0604125489795426,32,110,273,415,0,0,273,0.6578313253012048,0.26506024096385544
17,11.35710728972784,8.679248396399188,0.5557820344644357,2.122076858864209,27,142,285,454,0,0,285,0.6277533039647577,0.31277533039647576
18,11.928206696680126,9.161311940020031,0.5742611759105858,2.192633580749509,33,169,299,501,0,0,299,0.5968063872255489,0.3373253493013972
19,12.609453890009672,9.738188155206899,0.5959230770345374,2.2753426577682334,36,199,315,550,0,0,315,0.5727272727272728,0.3618181818181818
20,13.11934240766585,10.171185588077646,0.6118816040654784,2.336275215522735,32,232,335,599,0,0,335,0.5592654424040067,0.38731218697829717
21,13.735034417125991,10.695346216852808,0.6308786830755667,2.4088095171976187,52,259,341,652,0,0,341,0.5230061349693251,0.39723926380368096
22,14.334264517943488,11.206796965397867,0.6490970392075817,2.47837051333804,43,307,355,705,0,0,355,0.5035460992907801,0.43546099290780144
23,14.924144110015613,11.71145407948254,0.6667847233181856,2.5459053072148907,39,343,378,760,0,0,378,0.49736842105263157,0.4513157894736842
24,15.490130029324858,12.196719179878261,0.6835381008285384,2.6098727486180544,48,374,393,815,0,0,393,0.4822085889570552,0.4588957055214724
25,16.011976306239678,12.645006962732378,0.6988049580864183,2.66816438542087,57,413,400,870,0,0,400,0.45977011494252873,0.4747126436781609
26,16.548863823370006,13.107045113387763,0.714339732260466,2.7274789777217774,60,454,414,928,0,0,414,0.44612068965517243,0.4892241379310345
27,16.999855642124164,13.495786299344857,0.7272596749164614,2.7768096678628518,70,495,418,983,0,0,418,0.4252288911495422,0.503560528992879
28,17.51162158552679,13.93757579666895,0.7417830882535152,2.832262700604329,83,538,420,1041,0,0,420,0.4034582132564842,0.5168107588856868
29,18.038395930581544,14.393029865596631,0.7565854097138496,2.8887806552710633,83,580,430,1093,0,0,430,0.3934126258005489,0.5306495882891126
30,18.46412876101927,14.761628626413426,0.7684434241634763,2.934056710442365,101,620,431,1152,0,0,431,0.3741319444444444,0.5381944444444444
31,19.055036714713577,15.273957905040566,0.7847522057811913,2.99632660389182,116,651,448,1215,0,0,448,0.36872427983539097,0.5358024691358024
32,19.518714606411272,15.676543701327104,0.7974316972816203,3.0447392078025515,116,709,453,1278,0,0,453,0.3544600938967136,0.554773082942097
33,20.00797521967015,16.101863772823144,0.8107023757606953,3.0954090710862894,129,751,459,1339,0,0,459,0.3427931292008962,0.5608663181478716
34,20.47423748922194,16.507674451283226,0.8232489324023755,3.1433141055363416,146,781,469,1396,0,0,469,0.3359598853868195,0.5594555873925502
35,20.81908031785111,16.808102778421674,0.8324670364853552,3.1785105029440834,145,842,464,1451,0,0,464,0.31977946243969674,0.580289455547898
36,21.19238803285492,17.13360532774339,0.8423888633250353,3.216393841786497,160,876,471,1507,0,0,471,0.31254147312541475,0.5812873258128732
37,21.68940934660075,17.56741220311317,0.855508841101196,3.2664883023863833,177,919,469,1565,0,0,469,0.29968051118210864,0.5872204472843451
38,22.05162674061183,17.883864285041497,0.8650073020995042,3.3027551534708324,196,961,460,1617,0,0,460,0.2844774273345702,0.5943104514533086
39,22.3766507150475,18.168035138916167,0.8734862516498954,3.335129324481419,221,990,457,1668,0,0,457,0.27398081534772184,0.5935251798561151
40,22.853196856928392,18.585038639371437,0.8858441583608765,3.382314059196073,233,1037,466,1736,0,0,466,0.2684331797235023,0.5973502304147466
41,23.29359741275171,18.970779792021474,0.8971885627930681,3.425629057937169,239,1082,475,1796,0,0,475,0.26447661469933187,0.6024498886414253
