Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
15,11.249428516950527,8.588522657527717,0.5522634802575642,2.1086423791652456,85,179,126,390,0,120,6,0.3230769230769231,0.45897435897435895
16,11.930809601325608,9.16351234206554,0.5743447141860508,2.1929525450740126,92,212,135,439,0,129,6,0.30751708428246016,0.48291571753986334
17,12.564523724333183,9.700082666780382,0.5945066345864322,2.269934422966377,104,238,147,489,0,143,4,0.3006134969325153,0.4867075664621677
18,13.173378461207141,10.217131927184546,0.6135606014009157,2.342685932621678,111,265,175,551,0,171,4,0.3176043557168784,0.4809437386569873
19,13.824589069035989,10.771702345599373,0.6336179992038261,2.41926872423279,125,302,187,614,0,185,2,0.30456026058631924,0.49185667752442996
20,14.543695701956969,11.385839214575668,0.6554041766263056,2.5024523107549856,143,331,213,687,0,211,2,0.31004366812227074,0.48180494905385735
21,15.18538842531123,11.935315246308928,0.6745434899816091,2.5755296890206907,151,369,245,765,0,245,0,0.3202614379084967,0.4823529411764706
22,16.093214911482605,12.714866705375687,0.7011666088146433,2.6771815972922743,186,404,262,852,0,262,0,0.3075117370892019,0.47417840375586856
23,16.944022902351644,13.447630057686037,0.7256664394588981,2.7707264052067018,197,469,269,935,0,269,0,0.2877005347593583,0.5016042780748663
24,17.82981026064276,14.21260058399529,0.7507416310023067,2.86646804564517,215,530,280,1025,0,280,0,0.2731707317073171,0.5170731707317073
25,18.49132621380651,14.785191143996709,0.769197844677509,2.936937225132305,232,594,300,1126,0,300,0,0.2664298401420959,0.5275310834813499
26,19.233667502044536,15.428995064130852,0.7896489965481244,3.015023441365565,259,642,325,1226,0,325,0,0.26508972267536707,0.5236541598694943
27,20.162799245301983,16.236563069453034,0.8148792063082719,3.1113569695406738,282,706,348,1336,0,348,0,0.26047904191616766,0.5284431137724551
28,20.943860206164995,16.916872010522372,0.835790002869228,3.191198192773415,300,790,357,1447,0,357,0,0.24671734623358674,0.5459571527297857
29,21.787897779594623,17.653431803648754,0.8580967119887669,3.2763692639571103,335,850,369,1554,0,369,0,0.23745173745173745,0.546975546975547
30,22.502411598961345,18.278041961998685,0.8767559623884743,3.347613674574174,339,939,394,1672,0,394,0,0.23564593301435408,0.5616028708133971
31,23.430374039646168,19.090650964176024,0.9006972420787058,3.439025833391421,369,1017,400,1786,0,400,0,0.22396416573348266,0.5694288913773796
32,24.241788151047896,19.8024423996877,0.9213736465087212,3.517972104851479,392,1108,416,1916,0,416,0,0.21711899791231734,0.5782881002087683
